iter	RMSE
0	2.860832988
1	2.805789538
2	2.751861484
3	2.699136201
4	2.647425635
5	2.59681343
6	2.547230507
7	2.498645558
8	2.451031825
9	2.404566279
10	2.358955349
11	2.314349016
12	2.270600737
13	2.227759219
14	2.185835776
15	2.144857524
16	2.104789527
17	2.065475057
18	2.027010717
19	1.989331533
20	1.952467724
21	1.916366505
22	1.881131891
23	1.8466878
24	1.812947073
25	1.779853543
26	1.747511908
27	1.71585063
28	1.68494809
29	1.654683837
30	1.625195681
31	1.596160672
32	1.567844729
33	1.540136618
34	1.51303721
35	1.486547597
36	1.460639232
37	1.435395138
38	1.410701407
39	1.386572565
40	1.362967937
41	1.339850616
42	1.317321461
43	1.295294605
44	1.273783381
45	1.252746826
46	1.232226492
47	1.212286852
48	1.192683466
49	1.173520433
50	1.154836625
51	1.136587674
52	1.118791445
53	1.101448104
54	1.084480625
55	1.067948127
56	1.051830312
57	1.036085617
58	1.020708237
59	1.005771729
60	0.9912236038
61	0.9770029538
62	0.9631301216
63	0.9496404947
64	0.9364973607
65	0.9237405412
66	0.9113306771
67	0.8991781789
68	0.8873943327
69	0.875889903
70	0.8647100339
71	0.8538727851
72	0.8433238742
73	0.8330139716
74	0.8230035723
75	0.8133008769
76	0.8038172488
77	0.7945941283
78	0.7856783836
79	0.776987546
80	0.7685212112
81	0.760304102
82	0.7523685573
83	0.7446509047
84	0.7371236532
85	0.7298306635
86	0.7227844814
87	0.715954044
88	0.709325493
89	0.7028702416
90	0.6966405428
91	0.6906193334
92	0.6847424491
93	0.679030818
94	0.6735363627
95	0.668200011
96	0.6630146094
97	0.6580258828
98	0.65317955
99	0.6484911412
100	0.6439871058
101	0.6396224958
102	0.6353753239
103	0.6313161482
104	0.6273624743
105	0.6235338891
106	0.6198234177
107	0.6162812079
108	0.6128306383
109	0.6095001234
110	0.6063009372
111	0.6031756556
112	0.6001528511
113	0.5972519329
114	0.5944647886
115	0.5917498978
116	0.58913614
117	0.5866034251
118	0.5841702712
119	0.5818148819
120	0.5795385858
121	0.5773575291
122	0.5752712459
123	0.5732265667
124	0.5712649406
125	0.5693663224
126	0.567532686
127	0.5657715802
128	0.5640810867
129	0.5624631223
130	0.5608847072
131	0.5593893074
132	0.557923711
133	0.5565213459
134	0.5551658145
135	0.5538505974
136	0.5525878471
137	0.5513659867
138	0.5501850465
139	0.549072269
140	0.5479894898
141	0.5469384297
142	0.5459318284
143	0.5449671594
144	0.54403219
145	0.5431463086
146	0.5422688246
147	0.5414415233
148	0.5406409644
149	0.5398762721
150	0.5391232109
151	0.5384078686
152	0.5377193593
153	0.5370564978
154	0.5364254673
155	0.5358085449
156	0.5352234264
157	0.5346512069
158	0.5341005843
159	0.5335683131
160	0.5330708112
161	0.5325860993
162	0.5321183405
163	0.5316615461
164	0.5312234814
165	0.5308037896
166	0.5304022025
167	0.5300197718
168	0.5296409018
169	0.5292763347
170	0.5289324663
171	0.528603737
172	0.5282732154
173	0.5279711485
174	0.5276805692
175	0.5273919735
176	0.5271190632
177	0.5268600182
178	0.5266112502
179	0.5263620985
180	0.5261216236
181	0.5258988438
182	0.5256771214
183	0.5254713986
184	0.5252658974
185	0.5250696935
186	0.5248830751
187	0.5247069711
188	0.5245284741
189	0.5243677761
190	0.5242062426
191	0.524059701
192	0.5239060004
193	0.5237637945
194	0.5236256896
195	0.5234896392
196	0.5233604326
197	0.5232332772
198	0.5231200797
199	0.5230030657
200	0.5228932516
201	0.5227867074
202	0.5226876355
203	0.5225865773
204	0.5224904426
205	0.5223993654
206	0.5223113433
207	0.5222298535
208	0.5221479963
209	0.5220700259
210	0.5219967549
211	0.5219247695
212	0.5218521916
213	0.5217805846
214	0.5217157337
215	0.5216510917
216	0.5215864408
217	0.521525341
218	0.5214686465
219	0.5214128626
220	0.5213608637
221	0.5213094239
222	0.5212595083
223	0.521211886
224	0.5211619973
225	0.5211176228
226	0.5210769113
227	0.5210359987
228	0.5209954026
229	0.5209583197
230	0.5209199577
231	0.520886316
232	0.5208503133
233	0.5208170105
234	0.5207839069
235	0.5207504009
236	0.5207197555
237	0.5206913232
238	0.5206623535
239	0.5206340125
240	0.5206073904
241	0.520580801
242	0.5205559453
243	0.5205338102
244	0.5205101681
245	0.5204867185
246	0.520465451
247	0.5204447745
248	0.5204248086
249	0.520405577
250	0.5203864175
251	0.5203678253
252	0.5203512034
253	0.5203334248
254	0.5203168606
255	0.5203000512
256	0.5202837223
257	0.5202697434
258	0.5202569078
259	0.5202404723
260	0.5202255556
261	0.5202104902
262	0.5201972836
263	0.5201847847
264	0.520171652
265	0.5201589778
266	0.5201466315
267	0.5201346625
268	0.5201215048
269	0.5201124854
270	0.5201013093
271	0.5200908743
272	0.5200792858
273	0.5200699075
274	0.5200603058
275	0.5200483343
276	0.520039437
277	0.5200287296
278	0.5200212892
279	0.5200103101
280	0.520002101
281	0.5199947957
282	0.5199872655
283	0.5199761263
284	0.5199696863
285	0.5199636332
286	0.5199543102
287	0.5199456107
288	0.5199392779
289	0.5199295121
290	0.5199227735
291	0.5199163483
292	0.5199107759
293	0.5199048959
294	0.519898367
295	0.5198930923
296	0.5198863524
297	0.51987999
298	0.5198755673
299	0.5198700073
300	0.5198651027
301	0.5198601419
302	0.5198527683
303	0.519847621
304	0.5198435397
305	0.5198389408
306	0.5198352516
307	0.5198302789
308	0.5198252786
309	0.5198217916
310	0.5198161398
311	0.5198122647
312	0.5198078414
313	0.5198035428
314	0.519798059
315	0.5197945307
316	0.5197902988
317	0.5197882642
318	0.5197832882
319	0.5197780288
320	0.5197748475
321	0.5197699203
322	0.5197651547
323	0.5197597688
324	0.519754873
325	0.5197501495
326	0.5197455673
327	0.5197434109
328	0.5197396307
