iter	Passed	Remaining
0	94	94676
1	143	71564
2	191	63605
3	237	59186
4	283	56335
5	327	54302
6	370	52566
7	409	50717
8	450	49631
9	493	48890
10	538	48374
11	578	47655
12	620	47142
13	662	46642
14	706	46377
15	746	45885
16	791	45753
17	837	45666
18	881	45519
19	928	45488
20	975	45463
21	1021	45417
22	1067	45362
23	1113	45262
24	1158	45179
25	1204	45133
26	1250	45055
27	1296	44996
28	1341	44915
29	1388	44892
30	1432	44769
31	1472	44550
32	1514	44386
33	1557	44250
34	1598	44076
35	1642	43979
36	1683	43824
37	1726	43702
38	1766	43525
39	1802	43251
40	1845	43176
41	1890	43119
42	1934	43051
43	1975	42923
44	2015	42774
45	2055	42620
46	2097	42537
47	2122	42103
48	2165	42026
49	2206	41927
50	2249	41851
51	2292	41790
52	2333	41689
53	2376	41627
54	2417	41539
55	2456	41417
56	2500	41370
57	2544	41333
58	2586	41253
59	2628	41181
60	2670	41102
61	2715	41082
62	2757	41007
63	2798	40930
64	2839	40845
65	2881	40780
66	2924	40720
67	2965	40642
68	3005	40559
69	3046	40481
70	3089	40425
71	3132	40369
72	3173	40298
73	3215	40231
74	3257	40180
75	3298	40105
76	3343	40075
77	3384	40008
78	3428	39974
79	3471	39919
80	3512	39856
81	3554	39798
82	3596	39731
83	3637	39666
84	3678	39595
85	3722	39564
86	3767	39536
87	3810	39492
88	3851	39427
89	3892	39357
90	3933	39289
91	3971	39192
92	4015	39158
93	4055	39086
94	4094	39005
95	4134	38937
96	4180	38912
97	4224	38884
98	4269	38853
99	4313	38820
100	4354	38757
101	4396	38706
102	4439	38663
103	4480	38604
104	4524	38564
105	4565	38504
106	4607	38457
107	4650	38411
108	4693	38364
109	4737	38328
110	4779	38277
111	4823	38247
112	4866	38201
113	4907	38143
114	4949	38093
115	4989	38020
116	5032	37981
117	5076	37947
118	5118	37896
119	5159	37837
120	5201	37783
121	5244	37743
122	5287	37698
123	5329	37652
124	5372	37607
125	5415	37566
126	5458	37519
127	5499	37465
128	5541	37413
129	5582	37357
130	5624	37308
131	5669	37284
132	5713	37243
133	5753	37185
134	5795	37135
135	5837	37085
136	5881	37046
137	5922	36991
138	5963	36942
139	6007	36903
140	6048	36850
141	6092	36809
142	6135	36772
143	6178	36730
144	6221	36686
145	6264	36641
146	6306	36597
147	6348	36545
148	6389	36491
149	6431	36445
150	6473	36397
151	6514	36342
152	6557	36303
153	6600	36262
154	6642	36212
155	6684	36165
156	6725	36113
157	6767	36065
158	6810	36022
159	6853	35978
160	6895	35932
161	6937	35887
162	6978	35832
163	7020	35785
164	7061	35734
165	7101	35680
166	7145	35641
167	7188	35600
168	7234	35571
169	7276	35525
170	7318	35477
171	7360	35432
172	7404	35396
173	7446	35349
174	7485	35287
175	7529	35250
176	7571	35206
177	7621	35195
178	7670	35179
179	7716	35151
180	7763	35126
181	7809	35099
182	7855	35070
183	7898	35027
184	7941	34983
185	7983	34940
186	8026	34895
187	8068	34848
188	8110	34801
189	8152	34757
190	8194	34707
191	8222	34603
192	8264	34557
193	8307	34514
194	8351	34476
195	8395	34438
196	8437	34392
197	8481	34355
198	8524	34312
199	8572	34291
200	8618	34261
201	8659	34209
202	8704	34173
203	8745	34125
204	8790	34090
205	8834	34052
206	8878	34013
207	8925	33984
208	8969	33945
209	9010	33897
210	9053	33854
211	9094	33805
212	9137	33760
213	9181	33722
214	9221	33668
215	9262	33619
216	9301	33563
217	9342	33513
218	9383	33462
219	9424	33412
220	9465	33365
221	9507	33319
222	9550	33275
223	9592	33230
224	9633	33180
225	9675	33137
226	9726	33121
227	9772	33089
228	9818	33056
229	9858	33005
230	9899	32954
231	9939	32903
232	9983	32864
233	10025	32818
234	10067	32773
235	10109	32726
236	10150	32679
237	10193	32637
238	10237	32598
239	10281	32558
240	10326	32523
241	10366	32471
242	10409	32428
243	10455	32395
244	10500	32358
245	10542	32313
246	10583	32264
247	10627	32226
248	10677	32203
249	10730	32192
250	10775	32156
251	10820	32118
252	10860	32064
253	10902	32021
254	10943	31970
255	11000	31969
256	11042	31923
257	11084	31878
258	11127	31836
259	11169	31789
260	11210	31742
261	11253	31699
262	11297	31658
263	11342	31621
264	11387	31584
265	11429	31538
266	11471	31493
267	11514	31449
268	11556	31403
269	11598	31358
270	11640	31312
271	11681	31264
272	11721	31215
273	11763	31168
274	11806	31125
275	11847	31078
276	11889	31033
277	11931	30986
278	11974	30943
279	12015	30897
280	12056	30849
281	12097	30802
282	12139	30757
283	12182	30713
284	12223	30666
285	12267	30625
286	12309	30580
287	12352	30537
288	12395	30495
289	12436	30447
290	12477	30399
291	12518	30352
292	12560	30309
293	12602	30264
294	12644	30218
295	12686	30173
296	12725	30120
297	12767	30076
